epoch,train_loss,test_acc@1,test_acc@5
1,3.9714195709962112,47.89,91.52
2,3.6006652135115402,48.69,91.96
3,3.373658346518492,49.2,92.46
4,3.196826595526475,49.830000000000005,92.84
5,3.0042294600071053,51.160000000000004,93.19
6,2.8443806208097016,52.39,93.74
7,2.7038763070717837,52.88,93.87
8,2.576427885202261,53.68000000000001,94.27
9,2.4578256307504116,54.190000000000005,94.38
10,2.3800211429595945,54.339999999999996,94.58
11,2.286258751612443,55.28999999999999,94.55
12,2.2058177798222274,56.05,94.86
13,2.128515299772605,55.78999999999999,94.73
14,2.085771682934883,56.75,95.09
15,1.9925294432884608,57.230000000000004,94.86
16,1.9624986740259023,57.63,95.30999999999999
17,1.90505632406626,58.160000000000004,95.37
18,1.8702761005132627,58.48,95.72
19,1.8105746195866512,59.08,95.54
20,1.7796868911156287,59.35,95.82000000000001
21,1.7505152454743018,59.5,96.04
22,1.7096882535861089,60.33,95.95
23,1.6956719334308918,60.47,96.31
24,1.6529645008918568,60.92999999999999,96.37
25,1.6318911298727379,61.480000000000004,96.33
26,1.6135244097465125,61.309999999999995,96.59
27,1.5638524006574581,61.739999999999995,96.7
28,1.5651861025736882,61.78,96.5
29,1.5402848986478952,62.55,96.67999999999999
30,1.5179179209929246,62.5,96.78999999999999
31,1.4931411703427633,62.949999999999996,96.84
32,1.4928838989673516,63.41,96.75
33,1.4696444872098091,63.11,96.7
34,1.4740114578833947,63.49,96.67
35,1.4367230791311998,63.5,96.87
36,1.429017933515402,63.89,96.89
37,1.4184875081747006,63.82,97.08
38,1.4037405652877613,64.14,97.07000000000001
39,1.3986587851475447,64.39,97.37
40,1.375515440182808,64.96,97.17
41,1.3593671697836656,65.22,97.25
42,1.3536807978764558,65.59,97.19
43,1.3439066753937647,65.16,97.22
44,1.339188941166951,65.53,97.34
45,1.3202254390105224,65.49000000000001,97.39
46,1.3152804307448558,65.93,97.43
47,1.3090355231211737,66.05,97.35000000000001
48,1.301956242781419,66.14,97.5
49,1.3091783421161847,65.86999999999999,97.43
50,1.2919292498857546,67.07,97.66
51,1.2761326371095119,66.7,97.50999999999999
52,1.2674007253769117,66.75999999999999,97.5
53,1.252334362268448,67.49000000000001,97.63
54,1.2637934013819083,66.71000000000001,97.43
55,1.2345170942636636,67.43,97.61999999999999
56,1.2379318359570626,67.55,97.68
57,1.2307366151076096,67.96,97.68
58,1.2249268900125454,67.82000000000001,97.65
59,1.2211660840572456,67.45,97.66
60,1.207472602526347,67.64,97.64
61,1.2153064761406336,67.5,97.56
62,1.203758855507924,68.07,97.91
63,1.1901817236191188,68.28,97.81
64,1.1937233270742955,68.39,97.82
65,1.1714651978932895,68.35,97.84
66,1.1840022936845438,68.35,97.76
67,1.164364516735077,68.47999999999999,97.92
68,1.1750578863498493,69.0,97.92999999999999
69,1.1594121686923198,68.5,97.99
70,1.155304371393644,69.69999999999999,97.91
71,1.1486321965853372,69.32000000000001,98.0
72,1.1528765994768877,68.7,97.91
73,1.1486033807962368,68.92,98.1
74,1.1419248227889722,69.36,98.02
75,1.130871846431341,68.94,98.17
76,1.1291601485166793,69.28999999999999,98.03
77,1.1132793531968044,69.57,97.99
78,1.1164678654609583,69.5,98.16
79,1.1079728320623055,69.71000000000001,98.03
80,1.1079543379636911,69.55,98.11
81,1.1153137300259028,69.57,98.05
82,1.1035597709509042,69.62,98.13
83,1.0925206552713345,69.83,98.16
84,1.0902604228410966,70.3,98.09
85,1.0957252367948875,70.28999999999999,98.18
86,1.086017318872305,70.15,98.22
87,1.0794333117130475,70.38,98.37
88,1.0783263663450877,70.8,98.14
89,1.0697999151853415,70.76,98.21
90,1.068141000545942,70.95,98.37
91,1.0621419507723588,70.72,98.08
92,1.0712228512152648,70.50999999999999,98.21
93,1.0551912238964667,71.04,98.18
94,1.0533135964320257,70.94,98.21
95,1.0515167428896977,71.19,98.28
96,1.0459250008448577,71.32,98.4
