epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,4.592050395256433,43.19,89.89,4.592050395256433,0.0002383512687127672
2,4.011329989555555,47.43,92.02,4.040366172790527,0.0004544906183758855
3,3.723941770578042,50.239999999999995,92.33,3.739763021469116,0.0008666273240635393
4,3.5787302194497523,51.66,92.60000000000001,3.5867817401885986,0.0016524937775335602
5,3.523123526573181,49.99,92.35,3.526306390762329,0.0031509919073206146
6,3.4697533167325534,51.43,92.86,3.472580909729004,0.0060083433505082415
7,3.430173323704646,51.73,93.23,3.432293653488159,0.011456770083644463
8,3.4193887233734133,50.480000000000004,92.89,3.4200339317321777,0.021845885478297054
9,3.4146902127143663,51.239999999999995,93.2,3.414957284927368,0.04165595615924731
10,3.5563575023259872,48.17,92.19000000000001,3.5492873191833496,0.07943000000000004
