epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,4.601429292483208,42.559999999999995,89.75,4.601429292483208,0.00020022480712365062
2,3.9950848292081784,46.07,91.33,4.025402069091797,0.00020089912988339618
3,3.6944823851952187,48.75,92.2,3.7110283374786377,0.00020202267248887584
4,3.460629658209972,51.519999999999996,92.53,3.473149538040161,0.00020359494210032102
5,3.2703776597976684,52.16,93.08,3.2805161476135254,0.00020561524904473853
6,3.1350167953051056,52.290000000000006,93.02,3.14229154586792,0.00020808270711843505
7,3.0102355339588263,53.23,93.28,3.016838312149048,0.00021099623397574695
8,2.9175555822176813,52.56999999999999,93.52000000000001,2.9225196838378906,0.0002143545516038116
9,2.8503792530451064,52.849999999999994,93.61,2.8539862632751465,0.0002181561868831619
10,2.7679199940119035,53.31,93.63,2.7722232341766357,0.00022239947223391156
11,2.6915438315807245,53.410000000000004,94.05,2.695577621459961,0.00022708254634723176
12,2.5949151185842663,53.690000000000005,94.11,2.5999484062194824,0.00023220335500181337
13,2.5435344292567326,54.14,94.14,2.5463552474975586,0.00023775965196494398
14,2.4706311861673993,54.36,94.26,2.474417209625244,0.0002437489999778178
15,2.426680788015708,54.400000000000006,94.17999999999999,2.429067611694336,0.0002501687718246318
16,2.3608523378005395,53.959999999999994,94.32000000000001,2.364262819290161,0.0002570161514850078
17,2.304220844843449,54.779999999999994,94.51,2.307223081588745,0.00026428813536923676
18,2.2510100248532416,54.690000000000005,94.53,2.2538206577301025,0.0002719815336357963
19,2.2197897406724785,55.86,94.75,2.2214910984039307,0.00028009297159056843
20,2.1862250410593473,55.86,94.81,2.187988042831421,0.0002886188911671436
21,2.102537236763881,56.74,95.08,2.106809616088867,0.0002975555524875565
22,2.0705668999598577,56.379999999999995,95.1,2.0723791122436523,0.0003068990355027813
23,2.046827984467531,57.28,95.16,2.048105478286743,0.00031664524171224804
24,1.9778489562181325,57.95,94.98,1.9813618659973145,0.0003267898959616465
25,1.970772740474114,58.15,95.5,1.9713021516799927,0.00033732854831821095
26,1.9303326988831544,58.64,95.38,1.9323811531066895,0.0003482565760226761
27,1.8982540995646746,58.540000000000006,95.5,1.8999603986740112,0.00035956918551704087
28,1.8788577932577866,58.95,95.69,1.8799129724502563,0.0003712614145472543
29,1.8585459443239065,59.309999999999995,95.6,1.8596142530441284,0.0003833281343398969
30,1.832965933970916,59.260000000000005,95.93,1.8342983722686768,0.00039576405185190846
31,1.7896712715809162,59.8,96.08,1.7919025421142578,0.0004085637120923699
32,1.7905441357539251,60.25,96.02000000000001,1.790611982345581,0.0004217215005153257
33,1.7541051558959178,60.72,96.13000000000001,1.7559305429458618,0.0004352316454825922
34,1.7373190723932705,61.07,95.99,1.738249659538269,0.00044908822079547657
35,1.7158193294818584,61.08,96.32,1.7169408798217773,0.0004632851482942919
36,1.693657261897356,61.86000000000001,96.41999999999999,1.6948213577270508,0.00047781620052452867
37,1.6857664114389663,62.150000000000006,96.61999999999999,1.6862192153930664,0.0004926750034685184
38,1.647298298126612,62.51,96.46000000000001,1.6492444276809692,0.0005078550393413813
39,1.645205131555215,62.4,96.7,1.6454070806503296,0.0005233496494500413
40,1.6225000910269909,62.7,96.73,1.6236454248428345,0.0005391520371140484
41,1.6085455958659833,62.68,96.85000000000001,1.6093004941940308,0.0005552552706469291
42,1.591800166399051,63.519999999999996,96.81,1.5926752090454102,0.0005716522863967583
43,1.5772580461624341,64.16,96.7,1.5780287981033325,0.0005883358918446137
44,1.568791302962181,64.46,96.85000000000001,1.5692530870437622,0.0006052987687595638
45,1.5397927751907936,64.14999999999999,96.97,1.5412657260894775,0.0006225334764087924
46,1.5338567076585232,65.11,96.85000000000001,1.5342272520065308,0.0006400324548214633
47,1.5090240029188302,65.47,97.27,1.510284185409546,0.0006577880281048863
48,1.5063103798108224,65.44,97.25,1.5065089464187622,0.0006757924078115321
