epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,5.281555807590484,22.54,58.86,5.281555807590484,2.818382931264453e-07
2,5.292096751928329,24.88,60.019999999999996,5.291569232940674,7.943282347242824e-07
3,5.281910634040832,23.5,60.160000000000004,5.282392978668213,2.23872113856834e-06
4,5.289942237734794,24.44,59.98,5.289564609527588,6.309573444801928e-06
5,5.250793078541756,23.7,60.980000000000004,5.2527313232421875,1.778279410038922e-05
6,5.174411028623581,25.34,61.96,5.1783270835876465,5.011872336272722e-05
7,5.0743762135505674,25.319999999999997,62.86000000000001,5.079573631286621,0.00014125375446227546
8,4.938275599479676,25.6,64.25999999999999,4.945340633392334,0.0003981071705534969
9,4.782515400648117,25.16,64.7,4.790657043457031,0.0011220184543019643
10,4.723850977420807,25.86,65.16,4.72719144821167,0.003162277660168375
11,4.722128129005432,24.18,63.0,4.722381114959717,0.008912509381337457
12,4.790625417232514,20.76,55.96,4.787213325500488,0.02511886431509578
13,4.864302325248718,19.24,53.620000000000005,4.860447883605957,0.07079457843841366
14,5.061562716960907,15.079999999999998,43.34,5.051506996154785,0.19952623149688792
15,5.18206878900528,12.34,41.46,5.175540924072266,0.5623413251903498
16,5.212899476289749,11.74,39.94,5.211031913757324,1.5848931924611103
17,5.174090731143951,12.34,41.46,5.175937652587891,4.466835921509629
18,5.185574364662171,3.0,16.3,5.185092449188232,12.589254117941685
19,5.165253376960754,2.9000000000000004,17.48,5.166244983673096,35.48133892335763
20,5.164769780635834,7.64,30.34,5.164843559265137,99.99999999999967
