epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,5.147765445709228,25.119999999999997,63.38,5.147765445709228,0.0005225577763659171
2,4.8969553232192995,27.16,67.2,4.909495830535889,0.0010922665185619657
3,4.630959331989288,30.56,71.56,4.644886493682861,0.0022830894525547323
4,4.455220037698746,26.619999999999997,64.0,4.464703559875488,0.004772184590285913
5,4.490284925699234,25.36,61.82,4.4890055656433105,0.009974968671630011
6,4.523573762178421,24.52,61.199999999999996,4.52184534072876,0.020849989793466642
7,4.647869047522545,16.48,50.8,4.641567707061768,0.043581297214903975
8,4.681167227029801,9.44,32.98,4.679187297821045,0.09109498305504929
9,4.486964479088783,13.52,42.04,4.496575832366943,0.19040956713334978
10,4.769085174798965,18.08,53.16,4.755459785461426,0.39800000000000074
