epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,5.802517549808209,19.85,71.69,5.802517549808209,1.5848931924611134e-05
2,5.367020377134666,30.17,82.37,5.388795375823975,0.000251188643150958
3,4.590044225790562,44.71,90.8,4.629981517791748,0.0039810717055349725
4,3.904734857265766,46.85,92.01,3.9409971237182617,0.06309573444801933
5,3.6389731113727275,47.410000000000004,92.08,3.654074192047119,1.0
6,3.5592037158134655,49.16,93.03,3.5639472007751465,15.848931924611135
7,3.4912705189142472,50.17,93.28,3.4949042797088623,251.18864315095738
8,3.4799253005247848,50.54,93.24,3.4806745052337646,3981.0717055349724
9,3.4056136877108845,50.67,93.43,3.4093666076660156,63095.73444801917
10,3.3721794904806677,48.9,93.2,3.3740389347076416,999999.9999999999
