epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,4.028932115359184,47.32,91.8,4.028932115359184,0.00015
2,3.3286499818166098,48.69,92.30000000000001,3.363663911819458,0.00015
3,3.019117050904494,49.95,92.85,3.036344289779663,0.00015
4,2.8061959254436,51.0,93.4,2.8177034854888916,0.00015
5,2.6516107650903553,51.470000000000006,93.42,2.6599154472351074,0.00014383173211955
6,2.5247467988576644,52.38,93.81,2.5315053462982178,0.00014383173211955
7,2.437373775702256,52.87,93.85,2.442080497741699,0.00014383173211955
8,2.3869394987057415,52.65,93.77,2.3896963596343994,0.00014383173211955
9,2.341341256789672,52.980000000000004,94.0,2.343759059906006,0.00014383173211955
10,2.293189712671133,53.959999999999994,94.06,2.295718193054199,0.0001379171144300666
11,2.2226754900736685,54.279999999999994,94.06,2.226327657699585,0.0001379171144300666
12,2.184684942318843,54.84,94.26,2.186767101287842,0.0001379171144300666
13,2.1518685958324335,54.65,94.69,2.153613328933716,0.0001379171144300666
14,2.124037441534874,54.74,94.58,2.125516176223755,0.0001379171144300666
15,2.0649214069048565,55.08,94.44,2.067951202392578,0.0001322457163827111
16,2.037928451024569,55.010000000000005,94.54,2.0394294261932373,0.0001322457163827111
17,2.0090463026975973,55.58,94.88,2.0105655193328857,0.0001322457163827111
18,1.9586770858520117,55.24,94.56,1.9612714052200317,0.0001322457163827111
19,1.9488443130101913,56.279999999999994,94.96,1.9494656324386597,0.0001322457163827111
20,1.9140692133169908,56.66,95.07,1.9158389568328857,0.00012680753635144058
21,1.8845554898946713,55.98,95.15,1.8861196041107178,0.00012680753635144058
22,1.8503168644049228,56.86,95.1,1.852107048034668,0.00012680753635144058
23,1.8361689124351892,56.66,94.96,1.836965799331665,0.00012680753635144058
24,1.813695814059331,57.03,95.38,1.8148592710494995,0.00012680753635144058
25,1.8014050798538404,56.989999999999995,95.34,1.8020777702331543,0.00012159298399493666
26,1.7729528995660635,57.45,95.26,1.7744090557098389,0.00012159298399493666
27,1.7611642522689623,57.95,95.32000000000001,1.761826515197754,0.00012159298399493666
28,1.7249684346027863,58.08,95.6,1.726811408996582,0.00012159298399493666
29,1.7202879917927278,58.79,95.57,1.7206141948699951,0.00012159298399493666
30,1.6970993442413134,58.17,95.67,1.698275089263916,0.00011659286334384307
31,1.6607904681792627,58.56,95.59,1.6626646518707275,0.00011659286334384307
32,1.6568185595365672,59.01,95.89999999999999,1.6571108102798462,0.00011659286334384307
33,1.6351625956021822,59.48,95.8,1.6362600326538086,0.00011659286334384307
34,1.6236342977254818,59.440000000000005,95.76,1.6242655515670776,0.00011659286334384307
35,1.6122309076480377,59.95,96.02000000000001,1.6128325462341309,0.00011179835658348625
36,1.5993599677697206,60.35,96.13000000000001,1.6000336408615112,0.00011179835658348625
37,1.5627747975862942,60.309999999999995,96.17,1.5646377801895142,0.00011179835658348625
38,1.559431049762628,60.3,96.16,1.5596914291381836,0.00011179835658348625
39,1.5522235891757867,60.89,96.15,1.552596926689148,0.00011179835658348625
40,1.5489523007319523,61.33,96.17999999999999,1.5491344928741455,0.00010720100850347949
41,1.5195178154187325,61.47,96.47,1.5209985971450806,0.00010720100850347949
42,1.4989307837608532,61.41,96.33,1.500034213066101,0.00010720100850347949
43,1.4911131834372495,61.56,96.44,1.4915592670440674,0.00010720100850347949
44,1.4849297813880138,61.77,96.22,1.4852612018585205,0.00010720100850347949
45,1.469298943800804,61.85000000000001,96.07,1.4700970649719238,0.0001027927115867871
46,1.4532138469891671,61.59,96.45,1.4540579319000244,0.0001027927115867871
47,1.452079342878782,62.73,96.69,1.4521782398223877,0.0001027927115867871
48,1.4439541899240933,62.71,96.6,1.4443655014038086,0.0001027927115867871
49,1.4285807465895628,63.12,96.72,1.4293700456619263,0.0001027927115867871
50,1.4244507263868282,63.260000000000005,96.89999999999999,1.424696683883667,9.856569171195284e-05
51,1.413379864509289,63.13999999999999,96.82,1.4139456748962402,9.856569171195284e-05
52,1.398894826265482,63.160000000000004,96.86,1.3996473550796509,9.856569171195284e-05
53,1.3757739935165796,63.63999999999999,96.8,1.3769676685333252,9.856569171195284e-05
54,1.3946066828874442,63.449999999999996,96.77,1.3937246799468994,9.856569171195284e-05
55,1.379095200697581,63.75999999999999,96.71,1.379826545715332,9.451249444327835e-05
56,1.368098235435975,64.09,96.85000000000001,1.3686846494674683,9.451249444327835e-05
57,1.3551516598615891,63.949999999999996,96.95,1.3558282852172852,9.451249444327835e-05
58,1.3632906889304137,64.17,97.17,1.3629175424575806,9.451249444327835e-05
59,1.3398715355457405,64.71000000000001,97.15,1.3410238027572632,9.451249444327835e-05
60,1.3538664512145213,63.92,96.94,1.353224277496338,9.06259718847738e-05
61,1.326967353698535,64.69,96.88,1.3282800912857056,9.06259718847738e-05
62,1.3320092014777354,65.3,97.08,1.3318227529525757,9.06259718847738e-05
63,1.3139506292648804,65.08,97.08,1.3148442506790161,9.06259718847738e-05
64,1.3096077228203797,64.61,97.04,1.309869647026062,9.06259718847738e-05
65,1.299603969622881,64.86,97.11,1.3001171350479126,8.68992700746977e-05
66,1.285308258044414,65.16,97.1,1.2860487699508667,8.68992700746977e-05
67,1.2915083475601978,65.10000000000001,97.05,1.291235327720642,8.68992700746977e-05
68,1.2755619443379915,65.7,97.25,1.2763454914093018,8.68992700746977e-05
69,1.2766331900388768,65.38000000000001,97.02,1.2766187191009521,8.68992700746977e-05
70,1.2797497215943459,65.36,97.18,1.2795932292938232,8.332581689845565e-05
71,1.2654593836038541,65.85,97.09,1.266166090965271,8.332581689845565e-05
72,1.2725585992519672,66.19,97.45,1.2722389698028564,8.332581689845565e-05
73,1.239256523664181,66.24,97.28999999999999,1.2409056425094604,8.332581689845565e-05
74,1.2369379098598774,66.62,97.35000000000001,1.2371363639831543,8.332581689845565e-05
75,1.2463213466680967,66.12,97.28999999999999,1.2458621263504028,7.989931049854231e-05
76,1.2350872246118691,66.73,97.31,1.235625982284546,7.989931049854231e-05
77,1.2289586128332677,66.25999999999999,97.39,1.2292919158935547,7.989931049854231e-05
78,1.2402872041249886,66.4,97.41,1.2397373914718628,7.989931049854231e-05
79,1.2121523378751218,66.9,97.5,1.2135316133499146,7.989931049854231e-05
80,1.221091538362014,66.86,97.44,1.220713496208191,7.661370816108725e-05
81,1.2044275873746628,66.75999999999999,97.45,1.2052417993545532,7.661370816108725e-05
82,1.205848771486527,66.85,97.58,1.2058184146881104,7.661370816108725e-05
83,1.2058023458872087,66.81,97.53,1.2058031558990479,7.661370816108725e-05
84,1.205973028525328,66.59,97.46000000000001,1.2059645652770996,7.661370816108725e-05
85,1.1813735663890839,67.07,97.50999999999999,1.182603120803833,7.346321565940589e-05
86,1.1825365240757282,67.25,97.61,1.1825398206710815,7.346321565940589e-05
87,1.1808236702894552,67.11,97.43,1.180909514427185,7.346321565940589e-05
88,1.1829070655199199,67.77,97.47,1.182807207107544,7.346321565940589e-05
89,1.1713263676716732,67.65,97.71,1.1719003915786743,7.346321565940589e-05
90,1.1633691176390037,67.55,97.55,1.1637957096099854,7.044227703576266e-05
91,1.1684912021343525,67.83,97.57000000000001,1.168256402015686,7.044227703576266e-05
92,1.1587438367880307,67.85,97.77,1.1592193841934204,7.044227703576266e-05
93,1.156043088130462,67.43,97.57000000000001,1.1562018394470215,7.044227703576266e-05
94,1.1475964628733122,68.31,97.6,1.148026704788208,7.044227703576266e-05
95,1.151001193278875,68.32000000000001,97.59,1.1508524417877197,6.754556480332629e-05
96,1.1427825476878728,68.27,97.65,1.143186092376709,6.754556480332629e-05
97,1.132086306810379,67.97999999999999,97.65,1.1326411962509155,6.754556480332629e-05
98,1.132858358285366,68.05,97.65,1.132847547531128,6.754556480332629e-05
99,1.1304419060548148,68.08999999999999,97.74000000000001,1.13056218624115,6.754556480332629e-05
100,1.1388451243058229,68.17,97.71,1.1384309530258179,6.476797055103822e-05
101,1.120715378339474,68.73,97.44,1.1216012239456177,6.476797055103822e-05
102,1.1229747434457142,68.25,97.71,1.1229060888290405,6.476797055103822e-05
103,1.1284333172516945,68.24,97.81,1.1281570196151733,6.476797055103822e-05
104,1.1197226715393556,68.67,97.89,1.1201443672180176,6.476797055103822e-05
105,1.1060896795529587,68.67,97.78,1.1067924499511719,6.210459593482555e-05
106,1.0998268183989404,68.75,97.86,1.1001750230789185,6.210459593482555e-05
107,1.1002522115523998,68.8,97.77,1.1002484560012817,6.210459593482555e-05
108,1.1099003750544327,68.5,97.87,1.1094177961349487,6.210459593482555e-05
109,1.1024288177490233,68.82000000000001,97.78999999999999,1.1027783155441284,6.210459593482555e-05
110,1.0940130757979858,68.5,97.76,1.0944514274597168,5.955074403927148e-05
111,1.0928829402495652,69.0,97.83,1.0929614305496216,5.955074403927148e-05
112,1.0844375776938904,68.75,97.77,1.0848637819290161,5.955074403927148e-05
113,1.0923560393162264,69.08,97.87,1.0919815301895142,5.955074403927148e-05
114,1.0763233181757805,68.56,97.74000000000001,1.0771061182022095,5.955074403927148e-05
115,1.084544136432501,68.67,97.86,1.084172248840332,5.710191109450923e-05
116,1.0710729169539916,68.60000000000001,97.89,1.0717278718948364,5.710191109450923e-05
117,1.06895122833741,68.64,97.89,1.0690900087356567,5.710191109450923e-05
118,1.06392148351058,68.96,97.85000000000001,1.0641798973083496,5.710191109450923e-05
119,1.0619074135254591,68.87,97.82,1.062021017074585,5.710191109450923e-05
120,1.06381611594787,68.72,97.92,1.0637263059616089,5.475377853373208e-05
121,1.0560822573991921,69.8,97.97,1.056464433670044,5.475377853373208e-05
122,1.0568347449486073,69.52000000000001,98.03,1.0568161010742188,5.475377853373208e-05
123,1.0683817200171641,69.95,98.02,1.0678033828735352,5.475377853373208e-05
124,1.0482250691988528,69.53,97.88,1.0492039918899536,5.475377853373208e-05
