epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,4.529113816603636,38.36,87.21,4.529113816603636,4.764438402477676e-05
2,4.0601585382070295,43.09,89.61,4.083606719970703,9.079949316401609e-05
3,3.670741673616263,48.18,91.95,3.691384792327881,0.00017304343686245892
4,3.3304423283307982,49.93,92.80000000000001,3.348489284515381,0.0003297819183536876
5,3.301349393526713,49.93,92.83,3.303706407546997,0.0006284902544988265
6,3.4987218758998773,46.32,90.92,3.488970994949341,0.0011977612416468704
7,3.9950525137094353,43.26,89.01,3.9697484970092773,0.002282663862680676
8,4.636015357726659,32.35,81.51,4.602701663970947,0.004350244546921535
9,5.030351294004,27.97,77.4,5.008968353271484,0.008290588871808821
10,5.023160335345146,33.47,81.67999999999999,5.0224504470825195,0.015799999999999998
