epoch,train_loss,test_acc@1,test_acc@5,smooth_loss,lr_epoch
1,4.562388131557367,37.4,86.61,4.562388131557367,2.352319351544004e-05
2,4.137263629986689,40.88,88.77000000000001,4.158520221710205,2.3592763887969874e-05
3,3.9544909446667402,42.54,89.59,3.9646923542022705,2.3708680600681577e-05
4,3.7607529603517973,44.54,90.67,3.7709498405456543,2.387089280693556e-05
5,3.500546076358893,46.949999999999996,91.64999999999999,3.514066219329834,2.4079329352664483e-05
6,3.294120663251632,48.0,92.21000000000001,3.3051178455352783,2.433389880758489e-05
7,3.140207268641545,49.86,92.78,3.1484527587890625,2.4634489505302688e-05
8,3.0056073494446585,50.56,92.97,3.012749433517456,2.498096959229566e-05
9,2.8875122718321973,51.54,92.95,2.8937740325927734,2.5373187085750594e-05
10,2.7811122429676547,51.9,93.12,2.786745071411133,2.5810969940230372e-05
11,2.6914170424143475,52.2,93.34,2.696183443069458,2.629412612314123e-05
12,2.59202352364858,52.27,93.67,2.59723162651062,2.6822443698967563e-05
13,2.5184809993474913,53.02,93.46,2.52241849899292,2.7395690922236895e-05
14,2.469453337864998,53.26,93.97,2.4721016883850098,2.8013616339174865e-05
15,2.404371827076643,53.949999999999996,94.08,2.4077582359313965,2.8675948898004692e-05
16,2.347303953843239,53.73,94.3,2.3503265380859375,2.938239806784347e-05
17,2.306887696033869,54.190000000000005,94.23,2.3090593814849854,3.013265396614319e-05
18,2.2761324194761423,54.55,94.6,2.2777786254882812,3.0926387494619964e-05
19,2.2143478793975633,54.66,94.56,2.2175192832946777,3.1763250483612314e-05
20,2.205130555996528,54.94,94.75,2.205749988555908,3.264287584480528e-05
21,2.1512240923368013,55.31,94.95,2.1539502143859863,3.356487773225277e-05
22,2.1196664449496145,55.16,94.85,2.121380567550659,3.4528851711628395e-05
23,2.080483053586422,55.230000000000004,95.1,2.0825278759002686,3.553437493762949e-05
24,2.059063235001686,55.730000000000004,95.04,2.0602364540100098,3.658100633945768e-05
25,2.039951676588792,55.7,95.15,2.0409657955169678,3.766828681429346e-05
26,2.0058152373020466,55.61000000000001,94.87,2.007572889328003,3.879573942868096e-05
27,1.985262492681161,56.92,95.17999999999999,1.9863779544830322,3.9962869627733724e-05
28,1.9637172118211403,56.8,95.05,1.9648501873016357,4.116916545207039e-05
